R	400,300
x : 0.307692	 y : 0.000000	 z : -3.846154
x : 0.353846	 y : 0.000000	 z : -3.846154
x : 0.769231	 y : 0.000000	 z : -3.846154
x : 0.969231	 y : 0.000000	 z : -3.846154
x : 0.984615	 y : 0.000000	 z : -3.846154
x : 1.046154	 y : 0.000000	 z : -3.846154
x : 1.076923	 y : 0.000000	 z : -3.846154
x : 1.353846	 y : 0.000000	 z : -3.846154
x : 1.676923	 y : 0.000000	 z : -3.846154
x : 1.830769	 y : 0.000000	 z : -3.846154
x : 1.892308	 y : 0.000000	 z : -3.846154
x : 1.923077	 y : 0.000000	 z : -3.846154
x : 0.015152	 y : 0.000000	 z : -3.939394
x : 0.075758	 y : 0.000000	 z : -3.939394
x : 0.166667	 y : 0.000000	 z : -3.939394
x : 0.196970	 y : 0.000000	 z : -3.939394
x : 0.257576	 y : 0.000000	 z : -3.939394
x : 0.515152	 y : 0.000000	 z : -3.939394
x : 0.545455	 y : 0.000000	 z : -3.939394
x : 0.560606	 y : 0.000000	 z : -3.939394
x : 0.621212	 y : 0.000000	 z : -3.939394
x : 0.696970	 y : 0.000000	 z : -3.939394
x : 1.075758	 y : 0.000000	 z : -3.939394
x : 1.121212	 y : 0.000000	 z : -3.939394
x : 1.227273	 y : 0.000000	 z : -3.939394
x : 1.333333	 y : 0.000000	 z : -3.939394
x : 1.378788	 y : 0.000000	 z : -3.939394
x : 1.424242	 y : 0.000000	 z : -3.939394
x : 1.681818	 y : 0.000000	 z : -3.939394
x : 1.848485	 y : 0.000000	 z : -3.939394
x : 1.909091	 y : 0.000000	 z : -3.939394
x : 0.074627	 y : 0.000000	 z : -4.029851
x : 0.417910	 y : 0.000000	 z : -4.029851
x : 0.492537	 y : 0.000000	 z : -4.029851
x : 0.522388	 y : 0.000000	 z : -4.029851
x : 0.820896	 y : 0.000000	 z : -4.029851
x : 0.895522	 y : 0.000000	 z : -4.029851
x : 1.000000	 y : 0.000000	 z : -4.029851
x : 1.373134	 y : 0.000000	 z : -4.029851
